
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-09-02 18:00:07 /api/repairs ............................... ~ 500.35ms
  2026-09-02 18:00:07 /api/repairs ................................. ~ 0.06ms
  2026-09-02 18:00:07 /api/clientes ................................ ~ 0.03ms
  2026-09-02 18:00:07 /api/clientes ................................ ~ 0.03ms
  2026-09-02 18:00:39 /api/repairs/10 .............................. ~ 0.23ms
  2026-09-02 18:00:39 /api/repairs/10 .............................. ~ 0.12ms
  2026-09-02 18:01:08 /api/repairs ................................. ~ 0.28ms
  2026-09-02 18:01:08 /api/repairs ................................. ~ 0.23ms
  2026-09-02 18:01:08 /api/clientes .............................. ~ 500.62ms
  2026-09-02 18:01:08 /api/clientes ................................ ~ 0.18ms
  2026-09-02 18:01:21 /api/clientes/4 .............................. ~ 0.31ms
  2026-09-02 18:01:21 /api/clientes/4 .............................. ~ 0.15ms
  2026-09-02 18:01:38 /api/repairs ................................. ~ 0.23ms
  2026-09-02 18:01:38 /api/repairs ................................. ~ 0.11ms
  2026-09-02 18:01:38 /api/clientes ................................ ~ 0.11ms
  2026-09-02 18:01:38 /api/clientes ................................ ~ 0.09ms
